epoch,cost,accuracy_validation
1,2.532327442,0.475718
2,1.388714614,0.635632
3,0.990938754,0.719253
4,0.783872177,0.771408
5,0.645642164,0.796552
6,0.556522283,0.820977
7,0.487163569,0.843966
8,0.437407133,0.849713
9,0.382805579,0.861925
10,0.351052511,0.870546
11,0.315613939,0.875431
12,0.295315333,0.89181
13,0.261727168,0.894684
14,0.245992974,0.899138
15,0.226135106,0.896264
16,0.211784655,0.909052
17,0.194203602,0.913793
18,0.18542238,0.915948
19,0.167454463,0.918103
20,0.160800486,0.921983
21,0.149577091,0.927586
22,0.142725339,0.925431
23,0.133855133,0.934052
24,0.12363824,0.928017
25,0.121814683,0.935345
26,0.111123986,0.930172
27,0.109506569,0.934914
28,0.09949338,0.934914
29,0.099094994,0.935776
30,0.093923417,0.937644
31,0.090619409,0.946983
32,0.084556663,0.941236
33,0.083695901,0.935776
34,0.076838579,0.94569
35,0.073208413,0.94454
36,0.072672172,0.944252
37,0.068628011,0.946983
38,0.067406383,0.945546
39,0.062580787,0.947414
40,0.060613395,0.950287
41,0.059225945,0.952443
42,0.054382854,0.952443
43,0.053478297,0.955747
44,0.052898463,0.953017
45,0.050441664,0.952443
46,0.049172531,0.953736
47,0.049644835,0.949138
48,0.047276082,0.953736
49,0.046361855,0.957902
50,0.04082757,0.955029
51,0.040367492,0.95273
52,0.040858143,0.953448
53,0.044096931,0.955891
54,0.037581509,0.959626
55,0.035756849,0.952011
56,0.037066367,0.957902
57,0.033354293,0.958764
58,0.034168322,0.959195
59,0.04168322,0.959195
60,0.030042498,0.955891
61,0.037467312,0.958333
62,0.034092633,0.957184
63,0.032075402,0.957759
64,0.030425651,0.959626
65,0.030243424,0.957759
66,0.03132297,0.961063
67,0.027378988,0.959626
68,0.028352335,0.959914
69,0.028397755,0.9625
70,0.024530967,0.960201
71,0.025939463,0.962644
72,0.0291370004,0.96092
73,0.026216462,0.963649
74,0.025806644,0.960201
75,0.023129367,0.959914
76,0.025786354,0.960632
77,0.025668107,0.960201
78,0.023588525,0.962787
79,0.026459763,0.964799
80,0.023985142,0.959195
81,0.022603602,0.960345
82,0.024589087,0.960632
83,0.023609114,0.962931
84,0.023260185,0.959339
85,0.025993956,0.964224
86,0.021714159,0.961925
87,0.019220538,0.964655
88,0.018838527,0.963362
89,0.01776628,0.961782
90,0.01993669,0.9625
91,0.020285798,0.960776
92,0.017634619,0.964655
93,0.022026284,0.967385
94,0.018749632,0.965517
95,0.021196542,0.965517
96,0.019374428,0.96408
97,0.018964559,0.962931
98,0.015772934,0.963075
99,0.020460765,0.963506
100,0.022185941,0.962787
