epoch,cost,accuracy_validation
1,1.617359553,0.707902
2,0.698356497,0.813362
3,0.470373703,0.846695
4,0.360144814,0.868822
5,0.281012132,0.894684
6,0.230593737,0.902874
7,0.205550141,0.90546
8,0.182286951,0.910057
9,0.158824752,0.909914
10,0.148442174,0.923994
11,0.139689543,0.930603
12,0.13045172,0.921264
13,0.123206232,0.915805
14,0.112452304,0.928161
15,0.094993801,0.933046
16,0.105692151,0.925862
17,0.108946114,0.935201
18,0.101563107,0.931466
19,0.085725108,0.928592
20,0.089472191,0.932759
21,0.089403533,0.938649
22,0.090001369,0.938075
23,0.093095979,0.930603
24,0.079713648,0.945402
25,0.078586895,0.939943
26,0.086731319,0.93759
27,0.086460278,0.931609
28,0.076147137,0.94023
29,0.075265474,0.934914
30,0.079527239,0.931311
31,0.070812922,0.941667
32,0.070354167,0.936638
33,0.065192473,0.942672
34,0.080167444,0.937213
35,0.073048246,0.941379
36,0.066963474,0.943103
37,0.061664929,0.942816
38,0.069191439,0.938937
39,0.077636553,0.943822
40,0.073939516,0.945546
41,0.069200503,0.942529
42,0.05972407,0.944253
43,0.055289231,0.942098
44,0.073086546,0.950718
45,0.068184085,0.943391
46,0.05474143,0.943678
47,0.068772942,0.947557
48,0.073424506,0.949856
49,0.058689317,0.946552
50,0.069491923,0.945833
51,0.068285582,0.946695
52,0.06165641,0.943391
53,0.068514023,0.940517
54,0.066239569,0.944397
55,0.064562239,0.943965
56,0.052192765,0.949425
57,0.052946458,0.938362
58,0.059525484,0.946264
59,0.057208004,0.940805
60,0.062285039,0.946695
61,0.054999263,0.947557
62,0.066419733,0.948707
63,0.074550603,0.928017
64,0.074663455,0.933046
65,0.059863381,0.950287
66,0.049651702,0.945259
67,0.044943655,0.947701
68,0.051700417,0.948132
69,0.061628453,0.951724
70,0.057906411,0.945259
71,0.070858979,0.947126
72,0.067137151,0.943965
73,0.068476781,0.944828
74,0.059811902,0.952874
75,0.042031806,0.953161
76,0.067892132,0.948994
77,0.064833088,0.949425
78,0.045898747,0.955029
79,0.04702359,0.926006
80,0.082979893,0.932184
81,0.06448511,0.95158
82,0.058602084,0.948276
83,0.065561893,0.944971
84,0.059560781,0.948276
85,0.059503954,0.948132
86,0.054113803,0.947701
87,0.053790473,0.945977
88,0.061876636,0.942385
89,0.0703222227,0.949425
90,0.065336563,0.951437
91,0.023513924,0.957759
92,0.054276014,0.945977
93,0.068531453,0.950144
94,0.051774772,0.942241
95,0.038971368,0.945259
96,0.074292248,0.930747
97,0.05707616,0.944684
98,0.051598936,0.943822
99,0.064620044,0.946121
100,0.052244831,0.949282
